Array Size,Linear,Binary,RBTree,HashTable,Collisions,Multimap
100,0.023708,0.056042,0.005667,0.01925,1,0.025083
200,0.026167,0.027208,0.005125,0.019333,1,0.019375
500,0.049,0.062,0.007667,0.036833,1,0.021584
1000,0.061459,0.063666,0.009125,0.048958,1,0.037417
2000,0.113667,0.118709,0.0105,0.095666,1,0.073791
5000,0.280375,0.275167,0.02825,0.206042,1,0.14475
10000,0.5525,0.499792,0.03925,0.381167,1,0.26725
20000,1.26729,1.08554,0.077333,0.831792,1,0.599292
50000,2.5265,2.3875,0.189584,1.86383,1,1.49513
75000,4.77546,4.11371,0.417292,3.48558,1,2.52617
